batch,meanReward,policyLoss,valueLoss,entropy,meanAdvantage
1,0.406527,0.248382,7.488639,4.318056,-0.000000
2,0.394533,0.214263,5.877820,4.242693,-0.000000
3,0.443937,0.401122,7.761341,4.168997,-0.000000
4,0.435309,0.104718,7.155717,4.098927,-0.000000
5,0.466003,0.297692,8.431328,4.030397,-0.000000
6,0.429979,0.119307,5.413407,3.967365,0.000000
7,0.407415,0.265109,5.775181,3.903034,0.000000
8,0.430582,0.637686,4.458141,3.840041,0.000000
9,0.417870,0.244545,4.562556,3.772643,0.000000
10,0.419471,0.322841,5.397304,3.694438,-0.000000
11,0.406608,0.143305,5.627860,3.618528,-0.000000
12,0.444990,0.112520,4.021003,3.562520,-0.000000
13,0.438847,0.339822,3.920431,3.513382,0.000000
14,0.457136,0.115510,5.331993,3.449705,-0.000000
15,0.474324,0.107787,2.737185,3.404795,0.000000
16,0.485330,0.095366,4.317237,3.373947,-0.000000
17,0.504218,0.087266,8.129722,3.343270,-0.000000
18,0.486452,0.037588,3.395692,3.310320,-0.000000
19,0.551303,0.122589,3.809397,3.264769,0.000000
20,0.520921,0.613263,2.865048,3.223679,-0.000000
21,0.505399,0.156864,5.270232,3.186180,-0.000000
22,0.520965,0.094159,3.168197,3.154344,-0.000000
23,0.541304,0.051488,4.168763,3.122937,0.000000
24,0.541029,0.030520,4.855437,3.096058,-0.000000
25,0.558897,0.091646,5.159041,3.068596,-0.000000
26,0.607681,0.175431,3.148850,3.006438,0.000000
27,0.568138,0.035869,9.125852,2.971697,-0.000000
28,0.608307,0.020140,5.544103,2.951675,-0.000000
29,0.619129,1.506329,5.403995,2.898882,0.000000
30,0.497104,0.109184,15.278152,2.876209,-0.000000
31,0.561102,0.267206,6.748703,2.862112,0.000000
32,0.626129,0.231922,7.634497,2.817352,-0.000000
33,0.555792,0.792929,9.715392,2.785678,-0.000000
34,0.528824,0.085772,20.791533,2.769126,-0.000000
35,0.571530,0.060157,16.311330,2.752831,0.000000
36,0.538517,0.696341,11.112757,2.748603,0.000000
37,0.571138,0.081193,10.491522,2.748114,0.000000
38,0.571479,0.067021,10.610299,2.740499,0.000000
39,0.515425,0.304008,15.549892,2.727817,0.000000
40,0.576591,0.031860,12.396560,2.714859,0.000000
41,0.545800,0.818242,5.808802,2.698948,0.000000
42,0.519935,0.041376,2.172222,2.658962,0.000000
43,0.535333,0.037170,2.088048,2.626477,0.000000
44,0.541767,0.318605,1.815303,2.592550,-0.000000
45,0.552866,0.015577,7.829209,2.564810,0.000000
46,0.519871,0.018070,17.678620,2.563939,-0.000000
47,0.533223,0.013701,2.076920,2.538994,-0.000000
48,0.502671,0.014148,15.516526,2.523611,-0.000000
49,0.502234,0.006790,13.300791,2.531717,-0.000000
50,0.527678,0.022770,7.903177,2.533694,-0.000000
51,0.457358,-0.000242,11.428469,2.524989,0.000000
52,0.486287,0.013794,7.098888,2.524860,-0.000000
53,0.504107,0.034167,3.787690,2.518564,0.000000
54,0.517823,0.395773,6.512143,2.486114,-0.000000
55,0.531805,0.131411,6.261405,2.446610,0.000000
56,0.533636,0.039410,2.432587,2.410352,0.000000
57,0.532466,0.013775,4.640670,2.394923,0.000000
58,0.509124,0.150114,1.983061,2.381318,0.000000
59,0.525855,0.005628,5.437592,2.350030,0.000000
60,0.533147,0.048318,1.237716,2.329579,0.000000
61,0.541345,0.328545,1.028213,2.315947,-0.000000
62,0.542430,0.004027,2.248489,2.328863,0.000000
63,0.542354,0.018860,0.938494,2.342647,0.000000
64,0.518143,0.177808,11.105093,2.360475,0.000000
65,0.545688,0.019339,7.442068,2.382599,-0.000000
66,0.521608,0.005696,5.501270,2.396551,0.000000
67,0.543159,0.025343,1.972757,2.378444,-0.000000
68,0.531976,0.033883,2.547131,2.342860,-0.000000
69,0.538657,0.012722,1.683561,2.344833,-0.000000
70,0.530671,0.030857,0.817807,2.330776,-0.000000
71,0.542479,0.021157,2.431654,2.306526,0.000000
72,0.552739,0.090529,0.985798,2.289938,0.000000
73,0.555267,0.025873,1.282606,2.270682,-0.000000
74,0.560932,-0.003106,2.285317,2.272264,-0.000000
75,0.579004,0.072945,0.099692,2.254558,-0.000000
76,0.576940,0.016644,0.428539,2.212046,0.000000
77,0.552304,0.016732,2.787467,2.185646,0.000000
78,0.562369,0.000458,2.547369,2.186387,0.000000
79,0.573725,0.000615,1.283571,2.196927,0.000000
80,0.564582,0.056145,6.342827,2.190166,0.000000
81,0.569942,0.016781,5.996390,2.174706,0.000000
82,0.591248,0.053673,8.632176,2.175723,-0.000000
83,0.572641,0.004587,12.612880,2.179417,0.000000
84,0.559286,0.026859,8.098395,2.169078,0.000000
85,0.562974,0.006190,9.371895,2.177881,0.000000
86,0.556194,0.003739,8.681443,2.195057,-0.000000
87,0.582396,0.036026,7.447466,2.183245,-0.000000
88,0.572176,0.015202,6.245957,2.165277,0.000000
89,0.563045,0.038357,11.152216,2.157371,-0.000000
90,0.598397,0.010850,5.948442,2.152987,-0.000000
91,0.622112,0.011185,17.319940,2.133371,0.000000
92,0.587983,0.016374,2.308814,2.119454,0.000000
93,0.591747,0.038459,1.792634,2.105938,0.000000
94,0.623796,0.016306,1.509013,2.110836,0.000000
95,0.646557,0.004638,7.500901,2.121343,0.000000
96,0.672791,0.000933,4.796168,2.137173,0.000000
97,0.629330,0.017160,1.742976,2.137284,-0.000000
98,0.692610,0.138838,5.202790,2.120784,-0.000000
99,0.672564,0.030817,4.401137,2.104257,0.000000
100,0.728225,0.000790,10.055415,2.099276,-0.000000
101,0.703422,-0.000872,5.795614,2.112344,-0.000000
102,0.705213,0.019245,3.567566,2.117299,0.000000
103,0.708189,-0.000693,3.061669,2.111823,0.000000
104,0.725913,0.084442,5.641448,2.127142,-0.000000
105,0.734105,-0.002017,13.493718,2.158698,0.000000
106,0.724046,-0.001274,12.372849,2.170433,0.000000
107,0.704768,0.004956,6.304302,2.199916,0.000000
108,0.708691,0.047198,4.903950,2.221988,-0.000000
109,0.705447,0.021892,2.445639,2.227545,-0.000000
110,0.725039,0.222907,12.281409,2.216050,-0.000000
111,0.699058,0.015958,13.003157,2.206291,0.000000
112,0.723957,0.149694,5.691415,2.200243,-0.000000
113,0.759218,0.015987,17.222489,2.199884,0.000000
114,0.700594,0.055660,5.077721,2.200167,0.000000
115,0.710613,0.051888,3.631569,2.182011,0.000000
116,0.702864,0.002391,1.684594,2.144774,0.000000
117,0.728200,0.000218,20.348626,2.150083,0.000000
118,0.745023,0.028074,17.574344,2.199458,0.000000
119,0.737794,0.005052,16.393700,2.222203,-0.000000
120,0.717288,0.021994,12.897070,2.220418,0.000000
121,0.695814,0.018480,4.906440,2.216041,0.000000
122,0.673985,0.009319,12.097159,2.203692,0.000000
123,0.671816,0.057685,5.378334,2.174156,0.000000
124,0.665747,0.022585,4.917139,2.153754,0.000000
125,0.600142,0.056808,12.741583,2.156254,0.000000
126,0.541105,0.017395,17.357480,2.149815,-0.000000
127,0.607506,0.046490,8.625672,2.122712,-0.000000
128,0.656403,0.039395,13.455312,2.100667,-0.000000
129,0.673608,0.500042,3.352089,2.075886,0.000000
130,0.658746,0.016553,3.216969,2.061307,0.000000
131,0.654611,0.021525,8.609547,2.062364,-0.000000
132,0.670953,0.099444,0.868280,2.043326,-0.000000
133,0.673554,0.080228,0.972969,2.008483,0.000000
134,0.700519,0.023076,3.113424,1.985007,0.000000
135,0.713807,0.012349,2.727561,1.969121,0.000000
136,0.677949,0.065694,3.002832,1.947485,0.000000
137,0.717403,0.014475,5.095091,1.916481,0.000000
138,0.742062,0.006341,7.757154,1.907796,0.000000
139,0.694644,0.282061,3.611481,1.902162,-0.000000
140,0.682816,0.044772,1.977894,1.885044,0.000000
141,0.661981,0.035723,9.366414,1.878808,0.000000
142,0.656418,0.038778,8.984618,1.882302,0.000000
143,0.658962,0.058809,3.924586,1.877299,0.000000
144,0.668957,0.037334,1.793916,1.861359,-0.000000
145,0.673634,0.034019,6.776901,1.865640,0.000000
146,0.640507,0.027742,5.442755,1.874498,0.000000
147,0.637568,0.044684,5.044088,1.853871,0.000000
148,0.628855,0.011639,2.374224,1.838063,0.000000
149,0.680670,0.041952,4.836436,1.832890,-0.000000
150,0.709490,0.003758,4.785305,1.833068,-0.000000
151,0.680720,0.038072,0.852289,1.824045,0.000000
152,0.701978,0.048401,2.424326,1.809151,0.000000
153,0.688744,0.006699,3.675014,1.801928,0.000000
154,0.663184,0.058361,2.557459,1.790334,-0.000000
155,0.715021,0.025978,6.039647,1.776804,0.000000
156,0.697336,0.014951,5.959400,1.769326,0.000000
157,0.707779,0.012474,1.813882,1.751124,-0.000000
158,0.718573,-0.000569,2.185770,1.751324,-0.000000
159,0.680162,0.011769,4.974720,1.754679,0.000000
160,0.758914,0.003066,6.150752,1.760899,0.000000
161,0.742284,-0.001451,17.766542,1.765673,-0.000000
162,0.750720,0.193168,9.150145,1.772544,-0.000000
163,0.765471,0.034598,5.143073,1.782741,-0.000000
164,0.763722,0.009650,10.045648,1.768679,-0.000000
165,0.715806,0.007708,9.029328,1.746193,-0.000000
166,0.742442,0.011330,11.368565,1.740865,-0.000000
167,0.708126,0.010713,5.138800,1.748981,-0.000000
168,0.702578,0.165575,5.546490,1.744268,-0.000000
169,0.671996,0.051931,2.982816,1.732918,0.000000
170,0.668576,0.036236,2.331605,1.728123,0.000000
171,0.673492,0.023441,1.467891,1.724544,-0.000000
172,0.664406,0.025476,9.808953,1.719671,-0.000000
173,0.674225,0.025816,8.344415,1.720917,-0.000000
174,0.647122,0.052593,4.326348,1.729951,0.000000
175,0.643375,0.089609,3.908016,1.729310,0.000000
176,0.553434,0.030771,3.343154,1.726557,0.000000
177,0.575720,0.068914,4.384309,1.708027,-0.000000
178,0.557294,0.335324,8.839132,1.691028,-0.000000
179,0.558077,0.385538,5.198750,1.675751,-0.000000
180,0.565313,0.130000,4.455208,1.664591,0.000000
181,0.571458,0.527771,2.535786,1.660359,-0.000000
182,0.580688,0.291417,1.146883,1.641623,0.000000
183,0.556333,0.489156,1.949007,1.615224,0.000000
184,0.594527,0.051562,3.263729,1.607039,-0.000000
185,0.552598,0.069600,2.766253,1.615410,-0.000000
186,0.560727,0.219786,2.709149,1.610670,-0.000000
187,0.569664,0.062690,1.404955,1.598643,0.000000
188,0.600028,0.139386,0.708721,1.579266,-0.000000
189,0.569305,0.046599,2.308250,1.576135,-0.000000
190,0.609687,0.008412,3.384235,1.553162,0.000000
191,0.623500,0.033315,0.899395,1.524116,-0.000000
192,0.589458,0.026716,1.887808,1.496856,-0.000000
193,0.648036,0.022713,1.636902,1.479316,0.000000
194,0.603151,0.057671,4.100634,1.456641,0.000000
195,0.631425,0.130741,1.777675,1.429962,0.000000
196,0.609755,-0.002254,1.866438,1.420022,-0.000000
197,0.657190,-0.001856,1.344180,1.451427,0.000000
198,0.688510,-0.001333,7.627593,1.467545,0.000000
199,0.660679,1.171434,0.480811,1.452767,0.000000
200,0.685606,0.005925,4.655430,1.450906,0.000000
201,0.654605,0.010479,0.700285,1.452220,0.000000
202,0.704909,0.001586,2.046165,1.446599,0.000000
203,0.727119,0.001894,4.790970,1.460800,0.000000
204,0.706426,0.001440,7.608823,1.487803,-0.000000
205,0.694342,-0.002356,4.017117,1.512176,0.000000
206,0.754333,0.008709,9.096560,1.517294,-0.000000
207,0.711927,0.006361,1.373068,1.511620,-0.000000
208,0.729548,0.010733,1.710479,1.509957,0.000000
209,0.732175,0.022303,5.996058,1.509151,0.000000
210,0.747626,-0.000458,2.883658,1.517478,-0.000000
211,0.750641,0.004569,5.647468,1.510966,0.000000
212,0.757337,0.026179,17.313402,1.518055,-0.000000
213,0.776073,0.000147,11.861810,1.549611,0.000000
214,0.770969,-0.001048,8.905532,1.567380,0.000000
215,0.749260,0.030498,7.689436,1.571783,0.000000
216,0.738670,0.002872,2.934297,1.573646,-0.000000
217,0.727612,0.003187,6.036862,1.578071,0.000000
218,0.778443,-0.004872,15.032784,1.597997,-0.000000
219,0.777676,0.004398,13.796294,1.638471,0.000000
220,0.779220,0.013676,13.606245,1.655287,-0.000000
221,0.781447,0.003172,20.605595,1.665030,0.000000
222,0.749207,0.018434,20.897645,1.685665,-0.000000
223,0.753501,0.003836,34.261940,1.702167,0.000000
224,0.675950,0.013586,21.180639,1.728490,0.000000
225,0.734787,0.053548,9.763987,1.755896,-0.000000
226,0.498357,0.002755,6.789264,1.769736,0.000000
227,0.480147,0.010883,6.675794,1.789870,0.000000
228,0.502492,0.017526,3.740364,1.782359,-0.000000
229,0.525670,0.024968,3.526768,1.749098,0.000000
